text;normalization
silakan bicara dengan sopir angkot;Silakan bicara dengan sopir angkot.
bisa kamu ajar kan saya cara memasak kue;Bisa kamu ajarkan saya cara memasak kue?
maaf nya ter lambat untuk janji ketemu;Maaf, nyaterlambat untuk janji ketemu.
mau coba tidur lebih cepat mala mini;Mau coba tidur lebih cepat malam ini.
ban tuaku sedi kit saat tamu aku turun;Bantu aku sedikit saat kamu turun.
mau kemana alat navigasi saya ganti;Mau ke mana alat navigasi saya ganti?
apa kah kau ingat kan kemana aku meninggal kan tas bar ang itu;Apakah kamu ingat kemana aku meninggalkan tas barang itu?
sudah kah kau kirim resi buku kepada saya;Sudahkah kamu kirim resi bukumu kepadaku?
apa kah ini mobile legends update ter baru dengan dapat kan karakter baru;Apakah ini Mobile Legends update terbaru dengan dapatkan karakter baru?
apa kah kamu tinggal disini teman teman saya ingin ber temu denganmu;Apakah kamu tinggal di sini? Teman-teman saya ingin bertemu denganmu.
aku cairan igat selama musim mulai benar benar berani suka sekali;Aku cairan igat selamamu sim mulai benar-benar berani, suka sekali.
selamat pagi putri apa yang akan anda upaya hari kesekolah;Selamat pagi, putri. Apa yang akan Anda upayakan hari ini di sekolah?
bisa kah kita order makanan lewat aplikasi ini apa kah banyak restoran disini peringkat;Bisakah kita order makanan lewat aplikasi ini? Apakah banyak restoran di sini? Peringkatnya bagaimana?
apa kah disini ter dapat museum yang menarik untuk dikunjungi;Apakah di sini terdapat museum yang menarik untuk dikunjungi?
apa kah kau ada disini;Apakah kau ada di sini?
bisa kah kau tolong mengantarku dari stasiun;Bisakah kau tolong mengantarku dari stasiun?
aku mau kemana;Aku mau ke mana?
bisa kah kau tolong aku sedi kit saja;Bisakah kamu tolong aku sedikit saja?
kami tidak tahu mau kemana dan kapan kami akan pergi;Kami tidak tahu mau ke mana dan kapan kami akan pergi.
dengar kan ceritaku apa yang ter jadi begini saja;Dengarkan ceritaku, apa yang terjadi begini saja.
halo sobat nya dirumah apa kah kalian sehat;Halo, sobat! Nya di rumah? Apakah kalian sehat?
ada kah restoran dekat kampus untuk makan malam;Adakah restoran dekat kampus untuk makan malam?
bisa kah kalian daftar acara kompetisi sepak bola merah putih;Bisakah kamu daftar acara kompetisi sepak bola Merah Putih?
pagi bangun tidur ukuli akan dahulu;Pagi, bangun tidur, ukuli akan dahulu.
mau lah tidur apa itu mbuh bulu kepalamu;Mau lah tidur apa itu mbuh tumbuh bulu kepalamu?
baik banyak kan drinkan sehat seperti air putih;Baik banyakkan drinkan sehat seperti air putih.
kembali kan tanpa ada nya kesesatan lagi;Kembali kantannya ada kesesatan lagi.
jangan tinggal kan kam udi sini tang anku ter kunci dia tas meja kecilmu anku;Jangan tinggalkan kamu di sini. Tangan kuterkunci di atas meja kecilmu.
bisa kah kamu membeli kan kue untuk acara ulang tahun adikku;Bisakah kamu membelikan kue untuk acara ulang tahun adikku?
sering sering lah men cuci tangan kamu agar lebih sesat dari infeksi tangan;Sering-seringlah mencuci tangan kamu agar lebih sesat dari infeksi tangan.
apa kabar ada jam nya sekarang;Apa kabar? Jamnya sekarang berapa?
maaf aku sedi kit ter lambat menjemputmu;Maaf, aku sedikit terlambat menjemputmu.
saya suka makanan pedas dan asin;Saya suka makanan pedas dan asin.
ayo cepat masuk kerumah dan makan;Ayo, cepat masuk ke rumah dan makan.
saya selalu melihat kalian dengan senang hati;Saya selalu melihat kalian dengan senang hati.
apa kah kita butuh per sia pan ekstra sebelum nanti nanti;Apakah kita butuh persiapan ekstra sebelum nanti-nanti?
saya sedang men cari kata yang hilang;Saya sedang mencari kunci yang hilang.
aku harus belanja makanan setelah ini;Aku harus belanja makanan setelah ini.
kamu lihat musik ter baru belia udi toko depan smashop;Kamu lihat musik terbaru beliau di toko depan SMASHOP?
bismillah kita usah akan tas kita hari selesai dengan baik;Bismillah, kita usahakan tugas kita hari ini selesai dengan baik.
makanan nya lezat dan ken yang;Makanannya lezat dan kenyang.
ayah sudah pergi untuk pekerjaan;Ayah sudah pergi untuk pekerjaan.
kepada bunda seko lah akan menyelenggarakan kunjungan industri;Kepada Bunda, sekolah akan menyelenggarakan kunjungan industri.
senang nya ber temu dengan dirimu;Senangnya bertemu dengan dirimu.
apa anda ingin tahu kahari buruk nya dengan diriku;Apa Anda ingin tahu kaharibuannya dengan diriku?
keberhasilan itu milik kita sebagai bangsa;Keberhasilan itu milik kita sebagai bangsa.
ken apa kamu marah dengan aku selalu setelah seko lah;Kenapa kamu marah dengan aku selalu setelah sekolah?
tanya kan pada sahabatmu apa yang mereka nikmati;Tanyakan pada sahabatmu apa yang mereka nikmati.
gadis panggil ayah nya dengan nama;Gadis panggil ayahnya dengan nama.
apa harus belanja untuk makan mala mini;Apa harus belanja untuk makan malam ini?
siapa kah nama mantan pada sewaktu kita masih ber sama;Siapa nama mantanmu pada saat kita masih bersama?
kamu mau kemana apa kah kamu mau ikut dengan saya;Kamu mau ke mana? Apakah kamu mau ikut dengan saya?
apa kah kamu mau akan mala mini atau meski sebentar lagi;Apakah kamu mau makan malam ini atau ta'meski sebentar lagi?
aku rindu kamu terima kasih atas segala nya yang kau telah laku kan;Aku rindu kamu terima kasih atas segalanya yang kau telah lakukan.
selamat pagi sahabat apa kabar kahari ini terima;Selamat pagi, sahabat. Apa kabar hari ini? Terima kasih.
maaf aku sudah telat men jemput dari apartemenmu;Maaf aku telat menjemput dari apartemenmu.
ibu membuat kue coklat untuk acara per temuan keluarga;Ibu membuat kue coklat untuk acara pertemuan keluarga.
apa kah kala uku lewat tidak kita akan memutuskan untuk berpisah;Apakah kalau kita lewat tidak, kita akan memutuskan untuk berpisah?
maaf aku harus kemana ata sian gini sepeda motor rusak;Maaf, aku harus kemana? Sore ini sepeda motor rusak.
jangan lupa dibawa kan kasih lebih untuk adikmu;Jangan lupa dibawakan kasih sayang lebih untuk adikmu.
bingung sama apa yang harus dilakukan besok saudara menikah;Bingung sama apa yang harus dilakukan besok, saudara menikah.
apa kah kamu ingat kejadian kemarin tiba tiba;Apakah kamu ingat kejadian kemarin tiba-tiba?
bisa kah kau tolong membawa kan saya sebotol air mineral;Bisakah kamu tolong membawakan saya sebotol air mineral?
maaf aku mundur jadwal per temuan pagi hari ini;Maaf, aku mundur jadwal pertemuan pagi hari ini.
jangan tinggal kan jam sekerja tinggal kan rumah;Jangan tinggalkan jam sekerja tinggalkan rumah.
bisa kah kau harap kan menunggu sebentar lagi sebel saya putus;Bisakah kau harapkan menunggu sebentar lagi sebelum saya putus?
bisa kah kamu member ikan kam utang gap anmu;Bisakah kamu memberikan kamu tanggapanmu?
apa kah kau tahu kapan jadwal pertandingan selanjutnya;Apakah kamu tahu kapan jadwal pertandingan selanjutnya?
apa kah kalimat ini tidak salah lisan;Apakah kalimat ini tidak salah lisan?
aku men coba memperbaiki sal uran air sendiri;Aku mencoba memperbaiki saluran air sendiri.
bisa kah kau tolong mengingat kan aku member ikan buku saya;Bisakah kamu tolong mengingatkan aku memberikan buku saya?
bisa kah kau tinggal kan sebatakubantuan;Bisakah kamu tinggal sebatakubantuan?
apa kah harus mengantung semua ten daya disini;Apakah harus mengantung semua tenda di sini?
aku membutuhkan ban tuan membawa kan tasmu kerumah;Aku membutuhkan bantuan membawakan tasmu ke rumah.
ada beber apa orang yang masih ber sama disana;Ada beberapa orang yang masih bersama di sana?
bisa dibayangkan bagaimana perasaan setelah diangkat men jadi manajer;Bisa dibayangkan bagaimana perasaan setelah diangkat menjadi manajer.
aku sangat menikmati waktu ketika hobi sayang kula kukan;Aku sangat menikmati waktu ketika hobi yang kulakukan.
apa kah kamu menyukai saja dengan kualitas per tama;Apakah kamu menyukainya saja dengan kualitas pertama?
kamu bisa ikutke pantai minggu ini;Kamu bisa ikut ke pantai minggu ini?
apa ada telepon dari rumah sakit;Apa ada telepon dari rumah sakit?
bisa kah kamu membebaskan kursi tamu;Bisakah kamu membebaskan kursi tamu?
apa kah ada per ubah and alam rencana ketemuan kita lagi;Apakah ada perubahan dalam rencana ketemuan kita lagi?
ada kesempatan saya dapat mengajukan pertanyaan kepadamu;Ada kesempatan saya dapat mengajukan pertanyaan kepadamu?
kamu bisa ber ikan saran bagaimana cara memperbaiki kebiasaanku;Kamu bisa memberikan saran bagaimana cara memperbaiki kebiasaanku?
bisa kah kamu mengulang itu ber apa kali lagi;Bisakah kamu mengulanginya berapa kali lagi?
aku suka seko lah;Aku suka sekolah.
kami bekerja set iap minggu;Kami bekerja setiap minggu.
apa kah kamu tahu lokasi warung makan ter dekat;Apakah kamu tahu lokasi warung makan terdekat?
ayah men dapat kan kena ikan gaji kemarin hari ini;Ayah mendapatkan kenaikan gaji kemarin hari ini.
ibu sedang memasak makanan sedap;Ibu sedang memasak makanan sedap.
adik mencintai hewan peliharaan;Adik mencintai hewan peliharaan.
kami selalu ber main bola set iap hari jumat;Kami selalu bermain bola setiap hari Jumat.
aku harus belajar matematika sekarang;Aku harus belajar matematika sekarang.
apa kah anda ingin makan malam sesudah pekerjaan;Apakah Anda ingin makan malam setelah pekerjaan?
ayah memperbaiki sepeda motor kemarin;Ayah memperbaiki sepeda motor kemarin.
kami tidur tidur ter lalu lama hari ini;Kami tidur terlalu lama hari ini.
adik ber tanya kepada saya ten tang film ter baru hari ini;Adik bertanya kepadaku tentang film terbaru hari ini.
kamu mengendarai mobil ketika hujan;Kamu mengendarai mobil ketika hujan.
apa kah anda ingin minum buah jus segar;Apakah Anda ingin minum buah jus segar?
ayah ber bicara dengan teman teman bis nis malam itu;Ayah berbicara dengan teman-teman bisnis malam itu.
ibu membeli kan baju baru kaki hari ini;Ibu membelikan baju baru kaki hari ini.
apa kah kamu bisa membantu saya;Apakah kamu bisa membantu saya?
jangan khawatir aku sudah memikirkan nya dengan cermat;Jangan khawatir, aku sudah memikirkannya dengan cermat.
maaf kup ada kemarin kursus jadi cukup pada mengikuti disini;Maaf, ku pada kemarin kursus, jadi cukup pada mengikuti di sini.
bisa kah kami men ungg uku sebentar aku sudah hampir selesai;Bisakah kamu menunggu ku sebentar? Aku sudah hampir selesai.
dimana kamu ber ada pada hari libur;Di mana kamu berada pada hari libur?
tanya kan diri nya pada tanggal kumpulan depan;Tanyakan dirinya pada tanggal kumpulan depan.
mohon maafku kelihatan sendiri karena aku telah ter lambat;Mohon maaf, ku kelihatan sendiri karena aku telah terlambat.
saat nya sudah waktu saya pergi kerja kuliah;Saatnya sudah waktu, saya pergi kerja kuliah.
siapa kah yang akan men jalan kan tugas ini tahun;Siapa yang akan menjalankan tugas ini tahun?
bisa kah aku meminta bantu anmu untuk proyek ini;Bisakah aku meminta bantuanmu untuk proyek ini?
apa kah kami ber encana menyelenggarakan pesta ulang tahun;Apakah kamu berencana menyelenggarakan pesta ulang tahun?
bisa kah kami membicarakan kesempatan bis nis masa;Bisakah kita membicarakan kesempatan bisnis masa?
aku harus menyiapkan dalam pertandingan besok;Aku harus menyiapkan dalam pertandingan besok.
apa kah kamu akan membeli saya sebuket bunga;Apakah kamu akan membeli saya sebuket bunga?
maaf aku sudah tidak bisa menghadiri per temuan besok;Maaf aku sudah tidak bisa menghadiri pertemuan besok.
dimana bis kamu mungkin ber temu teman teman lain;Di mana bisa kamu mungkin bertemu teman lain?
saya ingin menyewa sepeda untuk keliling kota bandung;Saya ingin menyewa sepeda untuk keliling kota Bandung.
bisa kah kau jaga buku jaga bagiku;Bisakah kau jaga buku jaga bagiku?
apa kah kamu ada menonton film ter bar udi ibu kota;Apakah kamu ada menonton film terbaru di ibukota?
saya ber encana men jalan kan marathon dan kau sendiri yang ber tahan;Saya berencana menjalankan marathon dan kau sendiri yang bertahan.
ber apa banyak rekening bank yang kamu miliki;Berapa banyak rekening bank yang kamu miliki?
bisa kah kau ajar kan saya menggulir dalam tarian tarian ini;Bisakah kau ajarkan saya menggulir dalam tarian ini?
saya sudah menyimpan dan anggaran sejumlah uang yang diperlukan;Saya sudah menyimpan dan anggaran sejumlah uang yang diperlukan.
pergi apa kah kau tempat latihan sulap ini;Pergi apakah kau tempat latihan sulap ini.
apa kah kamu masuk seko lah dengan tepat waktu;Apakah kamu masuk sekolah dengan tepat waktu?
maaf sekarang aku tidak hadir untuk per temu anter sebut;Maaf, sekarang aku tidak hadir untuk pertemuan tersebut.
kamu boleh meminjam pulpenku dik;Kamu boleh meminjam pulpenku dik?
bisa kah kamu ajar kan saya cara memasak nasi;Bisakah kamu ajarkan saya cara memasak nasi?
apa kah anda ingin mengikuti selamatan keramaian ini;Apakah Anda ingin mengikuti selamatan keramaian ini?
jangan khawatir aku sudah menyimpan data itu sejak lama;Jangan khawatir, aku sudah menyimpan data itu sejak lama.
bagaimana kondisi pemerintah and alam menangani mas alah ini;Bagaimana kondisi pemerintah dalam menangani masalah ini?
kamu harus segera melaporkan kejadian ini kedalam rapat besok;Kamu harus segera melaporkan kejadian ini ke dalam rapat besok.
apa kah kamu tahu penyebab mas alah ini;Apakah kamu tahu penyebab masalah ini?
mohon maaf kan data yang kurang lengkap dalam ber kas ini;Mohon maaf data yang kurang lengkap dalam berkas ini.
bagaimana kabar anda apa hari kemarin kerja besok;Bagaimana kabar Anda apa hari kemarin kerja besok?
kamu dapat harap ber sabar ada dalam mas alah ini;Kamu dapat berharap bersabar dalam masalah ini.
aku harap buku penyemprotan dapat mengecat dinding ini;Aku harap buku penyemprotan dapat mengecat dinding ini.
kamu bahagia pada pendapat anku pada usaha ini;Kamu bahagia pada pendapatanku pada usaha ini.
apa kah kamu hari ini ada rencana tambahan;Apakah kamu hari ini ada rencana tambahan?
bisa kah kamu ambil ini foto kami seluruh kelompok;Bisakah kamu ambil ini foto kami seluruh kelompok?
mungkin kamu bisa membantu saya melakukan tugas ini;Mungkin kamu bisa membantu saya melakukan tugas ini?
siapa kah pemain ter baik dalam tim sepak bola kita;Siapa pemain terbaik dalam tim sepak bola kita?
kirim kan kirim anku sampai tujuh belas oktober;Kirimkan kiriman ku sampai tujuh belas Oktober.
bisa kah saya pinjam kamu mobilmu saming sore;Bisakah saya pinjam kamu mobil mu saming sore?
terima kasih atas ban tuan nya kemarin malam;Terima kasih atas bantuannya kemarin malam.
bisa kah kamu tolong kucari objek kunang kam udi apartemen kita;Bisakah kamu tolong kucari objek kunang kamu di apartemen kita?
bisa kah kamu membelikanku kaleng minuman ringan ini;Bisakah kamu membelikan ku kaleng minuman ringan ini?
ada kah rekomendasi tempat makan lebih bagus dari ini;Adakah rekomendasi tempat makan lebih bagus dari ini?
terima kasih atas undangan pesta ulang tahun kamu;Terima kasih atas undangan pesta ulang tahun kamu.
mengapa kah kita udi tak bulan desember ini ada pesta;Mengapa kita udah bulan Desember ini ada pesta?
pagi mau makan apa;Pagi, mau makan apa?
ada gula perut kamu;Ada gula perut kamu?
kemarin tiba tiba hujan deras;Kemarin tiba-tiba hujan deras.
jangan tinggal kan aku disini;Jangan tinggalkan aku di sini.
apa kah kita akan ber temu lagi;Apakah kita akan bertemu lagi?
ayo cepat jalan;Ayo, cepat jalan!
kamu mau kah mengantar kesekolah;Kamu maukah mengantarku ke sekolah?
apa boleh bicara dengan kamu;Apa boleh bicara dengan kamu?
sudah kah kamu unggah foto kelulusanmu;Sudahkah kamu unggah foto kelulusanmu?
bisa kah kut anya sesuatu dengan cara mudah;Bisakah aku tanya sesuatu dengan caramu mudah?
kap anakan ber pikir masuk universitas;Kapan akan berpikir masuk universitas?
ayo jadwal makan malam kita;Ayo, jadwal makan malam kita.
apa harap anmu untuk tahun depan;Apa harapanmu untuk tahun depan?
kamu bisa kah ditemani kemalam besok;Kamu bisa ditemani kemalaman besok?
sia pak andi sini yang membantu saya;Siapa yang di sini yang bisa membantu saya?
pergi lah kesekolah sekarang jangan ter lambat lagi;Pergilah ke sekolah sekarang, jangan terlambat lagi.
bisa kah kau tolong ambil kan koper dan kunci aku;Bisakah kamu tolong ambilkan koper dan kunci aku?
halo apa kabar kerja siapa hari ini;Halo, apa kabar? Kerja siapa hari ini?
bisa kah anda meminta tolong membantu saya cara ber bicara;Bisakah Anda tolong membantu saya cara berbicara?
maaf anda besok tidak bisa hadir kepertemuan;Maaf, saya besok tidak bisa hadir ke pertemuan.
apa kah kamu punya buku yang bagus direkomendasikan;Apakah kamu punya buku yang bagus direkomendasikan?
terima kasih atas ban tuan nya sangat membantu saya;Terima kasih atas bantuannya, sangat membantu saya.
ada kah informasi ten tang acara kontak layanan konsumen;Adakah informasi tentang cara kontak layanan konsumen?
terima kasih atas waktu dan dukungan nya;Terima kasih atas waktu dan dukungannya.
apa kah kam usia saya ada mas alah;Apakah kamus saya ada masalah?
bisa kah anda tang dengan saya mengunjungi rumah kakak anda;Bisakah Anda datang dengan saya mengunjungi rumah kakak Anda?
saya ingin kan asia yang sederhana dan lezat;Saya ingin nasi yang sederhana dan lezat.
apa kah anda telah mengecek emailmu;Apakah Anda telah mengecek emailmu?
maaf kamu ber henti kerja sebelum waktu yang telah ditentukan;Maaf, kamu berhenti kerja sebelum waktu yang telah ditentukan.
apa kah and atidak terlibat dalam pertandingan besok;Apakah Anda tidak terlibat dalam pertandingan besok?
terima kasih atas informasi nya yang sangat ber manfaat;Terima kasih atas informasinya yang sangat bermanfaat.
